workerid,trial_number,trial_type,p2-response,filler,t-response,p1-correct,p1-response,p2-correct,category,t-correct
0,6,"""primer""","""right""","""false""","""right""",1,"""right""",1,"""four_strong_four""",1
0,7,"""primer""","""right""","""false""","""right""",0,"""left""",1,"""six_strong_four""",1
0,8,"""primer""","""left""","""false""","""right""",1,"""right""",0,"""four_strong_six""",1
0,9,"""primer""","""right""","""false""","""right""",0,"""left""",1,"""some_strong_four""",1
0,10,"""primer""","""right""","""true""","""right""",0,"""left""",1,"""four_strong_four""",1
0,11,"""primer""","""right""","""false""","""right""",0,"""left""",1,"""four_strong_six""",1
0,12,"""primer""","""left""","""false""","""left""",0,"""left""",0,"""some_weak_some""",0
0,13,"""primer""","""right""","""false""","""right""",0,"""left""",1,"""some_weak_six""",0
0,14,"""primer""","""right""","""false""","""right""",0,"""left""",1,"""six_weak_four""",0
0,15,"""primer""","""right""","""false""","""right""",0,"""left""",1,"""four_weak_four""",0
0,16,"""primer""","""right""","""false""","""right""",0,"""left""",1,"""four_strong_some""",1
0,17,"""primer""","""left""","""true""","""left""",0,"""left""",0,"""some_weak_some""",0
0,18,"""primer""","""left""","""false""","""right""",0,"""left""",0,"""six_weak_six""",0
0,19,"""primer""","""left""","""true""","""left""",0,"""left""",0,"""some_weak_some""",0
0,20,"""primer""","""left""","""false""","""right""",0,"""left""",0,"""six_weak_four""",0
0,21,"""primer""","""left""","""true""","""right""",0,"""left""",0,"""four_weak_four""",0
0,22,"""primer""","""left""","""false""","""left""",1,"""right""",0,"""some_strong_some""",1
0,23,"""primer""","""right""","""false""","""right""",0,"""left""",1,"""six_weak_four""",0
0,24,"""primer""","""right""","""false""","""right""",1,"""right""",1,"""six_strong_some""",1
0,25,"""primer""","""right""","""false""","""left""",1,"""right""",1,"""some_weak_some""",0
0,26,"""primer""","""left""","""false""","""right""",0,"""left""",0,"""four_strong_four""",1
0,27,"""primer""","""left""","""false""","""left""",0,"""left""",0,"""six_weak_some""",0
0,28,"""primer""","""right""","""false""","""left""",0,"""left""",1,"""six_strong_some""",1
0,29,"""primer""","""right""","""false""","""left""",1,"""right""",1,"""six_weak_some""",0
0,30,"""primer""","""right""","""false""","""left""",0,"""left""",1,"""some_strong_some""",1
0,31,"""primer""","""left""","""false""","""right""",0,"""left""",0,"""some_weak_four""",0
0,32,"""primer""","""right""","""false""","""right""",0,"""left""",1,"""four_strong_six""",1
0,33,"""primer""","""right""","""false""","""right""",0,"""left""",1,"""four_strong_some""",1
0,34,"""primer""","""left""","""true""","""right""",0,"""left""",0,"""four_strong_four""",1
0,35,"""primer""","""right""","""false""","""right""",1,"""right""",1,"""six_strong_four""",1
0,36,"""primer""","""right""","""false""","""right""",1,"""right""",1,"""some_strong_six""",1
0,37,"""primer""","""right""","""false""","""right""",0,"""left""",1,"""some_strong_six""",1
0,38,"""primer""","""left""","""false""","""right""",1,"""right""",0,"""four_weak_some""",0
0,39,"""primer""","""left""","""false""","""right""",0,"""right""",0,"""some_strong_four""",1
0,40,"""primer""","""left""","""false""","""right""",0,"""left""",0,"""some_weak_some""",0
0,41,"""primer""","""left""","""false""","""right""",1,"""right""",0,"""some_weak_six""",0
0,42,"""primer""","""right""","""false""","""right""",0,"""left""",1,"""some_weak_six""",0
0,43,"""primer""","""left""","""false""","""right""",0,"""left""",0,"""six_strong_six""",1
0,44,"""primer""","""right""","""true""","""right""",1,"""right""",1,"""six_strong_six""",1
0,45,"""primer""","""right""","""false""","""right""",1,"""right""",1,"""six_strong_some""",1
0,46,"""primer""","""left""","""false""","""right""",0,"""left""",0,"""four_weak_six""",0
