workerid,trial_number,filler,prime_type,prime_strength,trial_type,prime_target,within_between,category,p1-correct,p1-response,p2-correct,p2-response,t-correct,t-response,strong_response_bool
0,7,"""false""",some,weak,four,four some,between,"""some_weak_four""",0,"""left""",1,"""right""",0,"""right""",1
0,8,"""false""",six,strong,six,six six,within,"""six_strong_six""",0,"""left""",0,"""left""",1,"""right""",1
0,9,"""false""",six,strong,four,four six,between,"""six_strong_four""",0,"""left""",0,"""left""",1,"""right""",1
0,10,"""true""",four,weak,four,four four,within,"""four_weak_four""",1,"""right""",1,"""right""",0,"""left""",0
0,11,"""false""",some,weak,some,some some,within,"""some_weak_some""",1,"""right""",0,"""left""",0,"""right""",1
0,12,"""false""",six,strong,some,six some,between,"""six_strong_some""",0,"""left""",1,"""right""",1,"""right""",1
0,13,"""true""",six,weak,six,six six,within,"""six_weak_six""",0,"""left""",0,"""left""",0,"""right""",1
0,14,"""false""",six,weak,four,four six,between,"""six_weak_four""",0,"""left""",0,"""left""",0,"""left""",0
0,15,"""false""",six,strong,four,four six,between,"""six_strong_four""",0,"""left""",1,"""right""",1,"""left""",0
0,16,"""false""",some,strong,four,four some,between,"""some_strong_four""",1,"""right""",0,"""left""",1,"""left""",0
0,17,"""false""",some,strong,some,some some,within,"""some_strong_some""",1,"""right""",0,"""left""",1,"""right""",1
0,18,"""false""",some,weak,six,six some,between,"""some_weak_six""",0,"""left""",1,"""right""",0,"""right""",1
0,19,"""true""",four,weak,four,four four,within,"""four_weak_four""",0,"""left""",1,"""right""",0,"""left""",0
0,20,"""false""",four,weak,six,four six,between,"""four_weak_six""",1,"""right""",1,"""right""",0,"""right""",1
0,21,"""false""",some,weak,some,some some,within,"""some_weak_some""",1,"""right""",0,"""left""",0,"""right""",1
0,22,"""false""",four,strong,some,four some,between,"""four_strong_some""",0,"""left""",0,"""left""",1,"""right""",1
0,23,"""true""",some,weak,some,some some,within,"""some_weak_some""",0,"""left""",0,"""left""",0,"""right""",1
0,24,"""false""",four,weak,four,four four,within,"""four_weak_four""",0,"""left""",1,"""right""",0,"""left""",0
