workerid,trial_number,trial_type,p2-response,filler,p1-correct,p1-response,p2-correct,category,t-correct,response,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,6,"""primer""","""left""","""false""",0,"""left""",0,"""six_strong_four""",1,"""right""","""English""","""2""","""Male""","""31""","""No""","""Fun""","""Yes""","""2.00""","""3""","""Windows""",1050,1680,"""Chrome""","""3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""3SZEO3JHC9XTAWOWZJLK7G804LQYHV""","""Priming Biases through images""","""Read descriptions and choose the card that fits best""","""language research stanford fun cognitive science university explanations""","""$2.00""","""Fri Jun 01 08:50:17 PDT 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jul 01 08:50:17 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""34Z02EIMITY5F29HNFQLXBKXXOJ0TO""",0,"""Submitted""","""Sat Jun 02 01:36:25 PDT 2018""","""Fri Jun 01 08:50:28 PDT 2018""","""Fri Jun 01 08:56:25 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""CONDITION 1\""""","""5.5941833333333335"""
0,7,"""primer""","""left""","""false""",0,"""left""",0,"""six_weak_some""",0,"""right""","""English""","""2""","""Male""","""31""","""No""","""Fun""","""Yes""","""2.00""","""3""","""Windows""",1050,1680,"""Chrome""","""3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""3SZEO3JHC9XTAWOWZJLK7G804LQYHV""","""Priming Biases through images""","""Read descriptions and choose the card that fits best""","""language research stanford fun cognitive science university explanations""","""$2.00""","""Fri Jun 01 08:50:17 PDT 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jul 01 08:50:17 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""34Z02EIMITY5F29HNFQLXBKXXOJ0TO""",0,"""Submitted""","""Sat Jun 02 01:36:25 PDT 2018""","""Fri Jun 01 08:50:28 PDT 2018""","""Fri Jun 01 08:56:25 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""CONDITION 1\""""","""5.5941833333333335"""
0,8,"""primer""","""right""","""false""",0,"""left""",1,"""some_strong_four""",1,"""right""","""English""","""2""","""Male""","""31""","""No""","""Fun""","""Yes""","""2.00""","""3""","""Windows""",1050,1680,"""Chrome""","""3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""3SZEO3JHC9XTAWOWZJLK7G804LQYHV""","""Priming Biases through images""","""Read descriptions and choose the card that fits best""","""language research stanford fun cognitive science university explanations""","""$2.00""","""Fri Jun 01 08:50:17 PDT 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jul 01 08:50:17 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""34Z02EIMITY5F29HNFQLXBKXXOJ0TO""",0,"""Submitted""","""Sat Jun 02 01:36:25 PDT 2018""","""Fri Jun 01 08:50:28 PDT 2018""","""Fri Jun 01 08:56:25 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""CONDITION 1\""""","""5.5941833333333335"""
0,9,"""primer""","""right""","""true""",1,"""right""",1,"""some_strong_undefined""",1,"""right""","""English""","""2""","""Male""","""31""","""No""","""Fun""","""Yes""","""2.00""","""3""","""Windows""",1050,1680,"""Chrome""","""3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""3SZEO3JHC9XTAWOWZJLK7G804LQYHV""","""Priming Biases through images""","""Read descriptions and choose the card that fits best""","""language research stanford fun cognitive science university explanations""","""$2.00""","""Fri Jun 01 08:50:17 PDT 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jul 01 08:50:17 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""34Z02EIMITY5F29HNFQLXBKXXOJ0TO""",0,"""Submitted""","""Sat Jun 02 01:36:25 PDT 2018""","""Fri Jun 01 08:50:28 PDT 2018""","""Fri Jun 01 08:56:25 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""CONDITION 1\""""","""5.5941833333333335"""
0,10,"""primer""","""left""","""false""",0,"""left""",0,"""six_weak_six""",0,"""right""","""English""","""2""","""Male""","""31""","""No""","""Fun""","""Yes""","""2.00""","""3""","""Windows""",1050,1680,"""Chrome""","""3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""3SZEO3JHC9XTAWOWZJLK7G804LQYHV""","""Priming Biases through images""","""Read descriptions and choose the card that fits best""","""language research stanford fun cognitive science university explanations""","""$2.00""","""Fri Jun 01 08:50:17 PDT 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jul 01 08:50:17 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""34Z02EIMITY5F29HNFQLXBKXXOJ0TO""",0,"""Submitted""","""Sat Jun 02 01:36:25 PDT 2018""","""Fri Jun 01 08:50:28 PDT 2018""","""Fri Jun 01 08:56:25 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""CONDITION 1\""""","""5.5941833333333335"""
0,11,"""primer""","""left""","""false""",0,"""left""",0,"""six_weak_six""",0,"""right""","""English""","""2""","""Male""","""31""","""No""","""Fun""","""Yes""","""2.00""","""3""","""Windows""",1050,1680,"""Chrome""","""3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""3SZEO3JHC9XTAWOWZJLK7G804LQYHV""","""Priming Biases through images""","""Read descriptions and choose the card that fits best""","""language research stanford fun cognitive science university explanations""","""$2.00""","""Fri Jun 01 08:50:17 PDT 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jul 01 08:50:17 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""34Z02EIMITY5F29HNFQLXBKXXOJ0TO""",0,"""Submitted""","""Sat Jun 02 01:36:25 PDT 2018""","""Fri Jun 01 08:50:28 PDT 2018""","""Fri Jun 01 08:56:25 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""CONDITION 1\""""","""5.5941833333333335"""
0,12,"""primer""","""right""","""false""",0,"""left""",1,"""six_weak_some""",0,"""right""","""English""","""2""","""Male""","""31""","""No""","""Fun""","""Yes""","""2.00""","""3""","""Windows""",1050,1680,"""Chrome""","""3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""3SZEO3JHC9XTAWOWZJLK7G804LQYHV""","""Priming Biases through images""","""Read descriptions and choose the card that fits best""","""language research stanford fun cognitive science university explanations""","""$2.00""","""Fri Jun 01 08:50:17 PDT 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jul 01 08:50:17 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""34Z02EIMITY5F29HNFQLXBKXXOJ0TO""",0,"""Submitted""","""Sat Jun 02 01:36:25 PDT 2018""","""Fri Jun 01 08:50:28 PDT 2018""","""Fri Jun 01 08:56:25 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""CONDITION 1\""""","""5.5941833333333335"""
0,13,"""primer""","""right""","""false""",0,"""left""",1,"""six_weak_four""",0,"""right""","""English""","""2""","""Male""","""31""","""No""","""Fun""","""Yes""","""2.00""","""3""","""Windows""",1050,1680,"""Chrome""","""3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""3SZEO3JHC9XTAWOWZJLK7G804LQYHV""","""Priming Biases through images""","""Read descriptions and choose the card that fits best""","""language research stanford fun cognitive science university explanations""","""$2.00""","""Fri Jun 01 08:50:17 PDT 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jul 01 08:50:17 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""34Z02EIMITY5F29HNFQLXBKXXOJ0TO""",0,"""Submitted""","""Sat Jun 02 01:36:25 PDT 2018""","""Fri Jun 01 08:50:28 PDT 2018""","""Fri Jun 01 08:56:25 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""CONDITION 1\""""","""5.5941833333333335"""
0,14,"""primer""","""left""","""false""",1,"""right""",0,"""some_weak_six""",0,"""right""","""English""","""2""","""Male""","""31""","""No""","""Fun""","""Yes""","""2.00""","""3""","""Windows""",1050,1680,"""Chrome""","""3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""3SZEO3JHC9XTAWOWZJLK7G804LQYHV""","""Priming Biases through images""","""Read descriptions and choose the card that fits best""","""language research stanford fun cognitive science university explanations""","""$2.00""","""Fri Jun 01 08:50:17 PDT 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jul 01 08:50:17 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""34Z02EIMITY5F29HNFQLXBKXXOJ0TO""",0,"""Submitted""","""Sat Jun 02 01:36:25 PDT 2018""","""Fri Jun 01 08:50:28 PDT 2018""","""Fri Jun 01 08:56:25 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""CONDITION 1\""""","""5.5941833333333335"""
0,15,"""primer""","""right""","""false""",1,"""right""",1,"""six_weak_four""",0,"""right""","""English""","""2""","""Male""","""31""","""No""","""Fun""","""Yes""","""2.00""","""3""","""Windows""",1050,1680,"""Chrome""","""3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""3SZEO3JHC9XTAWOWZJLK7G804LQYHV""","""Priming Biases through images""","""Read descriptions and choose the card that fits best""","""language research stanford fun cognitive science university explanations""","""$2.00""","""Fri Jun 01 08:50:17 PDT 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jul 01 08:50:17 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BFF0DJK8XX2URVZ6F44JXUVL3WTSQ""","""34Z02EIMITY5F29HNFQLXBKXXOJ0TO""",0,"""Submitted""","""Sat Jun 02 01:36:25 PDT 2018""","""Fri Jun 01 08:50:28 PDT 2018""","""Fri Jun 01 08:56:25 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""CONDITION 1\""""","""5.5941833333333335"""
